First Two Words,Rest of Question
what is,the name of dawn french's first novel?
who is,the governor of california 2010?
which paris,airport is closest to the city center?
where are,dell products manufactured?
where does,manny pacquiao live?
when were,the duggar kids born?
where did,pharaoh hatshepsut live?
what record,label is rihanna signed to 2012?
who does,sam bradford play for?
where did,the seminole native americans live?
what county,is plymouth ia in?
what school,did kurt vonnegut go to?
what kind,of biome is the everglades?
where did,henry hudson come from?
which continent,is costa rica located?
where is,tomb of allama iqbal?
who does,the united states export the most to?
where is,sony ericsson based?
what do,you speak in singapore?
where is,reggie bush from?
what has,sara paxton been in?
what primary,school did sir isaac newton go to?
which roman,god goddess are you?
what countries,does canada export wheat to?
what kind,of economy does china has?
what is,mexico city time zone?
who plays,jacob black in the twilight movies?
who is,the head coach of the indianapolis colts?
who is,rob kardashian dating now 2012?
what is,the syracuse university mascot?
where is,augusta golf masters?
what government,did japan have?
where does,the shannon river end?
what countries,does china border?
what university,did donald trump graduate from?
what drug,did mitch hedberg overdose on?
what were,erik erikson's theories?
what is,british columbia?
what language,do you speak in austria?
what does,the philippines flag represent?
who was,rosemary clooney married to?
who's the,oakland raiders head coach?
where is,portuguese language spoken?
who is,married to garth brooks?
what political,party was hitler the leader of?
who plays,lois in family guy?
what state,did dwight d. eisenhower live in?
what are,2 inventions benjamin franklin is credited with creating?
what is,vanderbilt university mascot?
what famous,book did benjamin franklin wrote?
what band,does adam levine sing for?
where did,brian williams go to college?
what country,did truman lead?
what is,language in argentina?
which island,in greece?
who has,won the most fa cup?
what time,is in san diego california?
what landforms,are found in italy?
when did,hurricane irene hit ct?
who did,michael jackson play in the wiz?
what drugs,does charlie sheen do?
what is,the capital city of assyrian empire?
which countries,speak english?
where did,jerry spinelli go to college?
what is,the zip code for cordova tn?
what is,julia gillard party?
what is,the origin of the turkish language?
what is,isaac newton famous for?
who won,the state of texas in 2008?
what is,considered eastern canada?
where did,barack obama went to school?
who was,the prime minister of canada in 1998?
what did,ron howard direct?
what kind,of alcohol is bacardi silver?
who are,shakespeare's siblings?
where do,ba fly to from london city airport?
where does,kaka live?
what is,the predominant language in south africa?
where does,the oklahoma city thunder practice?
what is,the language called in turkey?
who was,theodore roosevelt's vice president?
what college,did charles richard drew go to?
what nationality,is jermaine paul?
where did,the oakland raiders move from?
who played,nba last night?
who were,mary shelley's parents?
what do,do in new york?
what are,some of the religions in australia?
what is,the capital city of south carolina?
what language,do they speak in indonesia?
what are,some of the awards taylor swift has won?
what city,did obama grow up in?
where did,chris cuomo go?
what is,there to do in palm springs?
where is,auburn university at?
where was,ronald reagan born and raised?
what county,is morristown tn in?
who was,the president of the united states during ww2?
who did,elvis presley really love?
which states,does the connecticut river flow through?
what are,the biggest cities in illinois?
which province,in canada is the most populated?
what continent,do the falkland islands belong to?
what language,do russian people speak?
which states,touch canadian soil?
who has,tim howard played for?
when is,the gold cup cheltenham?
where does,portuguese originate?
who did,howie long married?
what region,of the world is north america in?
who is,the current governor of georgia 2011?
where do,navajo indians live?
what instrument,does ringo starr play?
who are,china's trading partners?
what character,did stan lee create?
what disease,did anne frank get?
who did,mario lopez just marry?
what happened,to president james garfield?
what time,zone am i in missouri?
who is,paul mccartney's current wife?
who did,warren moon play for?
what brand,of guitar does steve vai play?
what do,hungarian people speak?
in what,town did ned kelly and his family grow up?
what is,bethenny frankel husband name?
what city,in australia should i live in quiz?
who is,the present president of china?
who influenced,arthur conan doyle?
when was,samuel pepys?
what are,the new york giants home colors?
who played,bob ewell in to kill a mockingbird?
what instrument,does fela kuti play?
who is,kurt busch driving for now?
who was,charlemagne's wife?
where did,woodrow wilson go to school?
who is,angelina jolie's husband?
what kind,of money do they use in aruba?
what sports,do people in france play?
what language,do native american indians speak?
where did,tennessee williams live?
what was,king louis xiv religion?
what language,do they in belgium?
where is,port st lucie florida on the map?
what countries,are the mediterranean?
what city,has the largest population in mexico?
who juan,ponce de leon?
what state,is toronto in?
where to,watch tv online for free in canada?
where did,the loma prieta earthquake occur?
what is,the state motto of massachusetts?
where did,helen keller die?
who is,the current president of chile 2011?
what would,happen if the new madrid fault had an earthquake?
what did,jeff corwin major in?
where did,johann sebastian bach live?
who did,bynum get traded to?
what timezone,is malaysia?
where was,alice walker born?
what do,they speak iceland?
who taught,michelangelo to sculpt?
what wars,have france been involved in?
when did,joe mcelderry won x factor?
what is,the major language of jamaica?
who was,the members of blackstreet?
who did,tebow get traded to?
who created,the character of sherlock holmes?
what does,scottish people speak?
who all,has kim kardashian dated?
what instruments,did vivaldi wrote concertos for?
what book,did john steinbeck wrote about the people in the dust bowl?
what land,did god promise joshua?
who is,the voice of family guys meg griffin?
what countries,did queen elizabeth i rule?
what channel,is the mtv vma awards on?
what kind,of currency does jamaica use?
what type,of government does the nigeria have?
what country,was william shakespeare born?
where do,they grow rice in italy?
where great,britain on the world map?
what to,see in dallas tx?
who did,cristina yang's husband cheated on her with?
who does,jemaine clement play in despicable me?
what year,did the vietnam war happen?
who inspired,antonio vivaldi?
what type,of currency is used in puerto rico?
what is,jackie kennedy famous for?
what currency,is used in france before euro?
what major,landforms are located in egypt?
who played,nba finals 2010?
what does,the devil look like in young goodman brown?
what state,was ronald reagan governor of?
where was,my honda motorcycle made?
what did,isaac newton discovered as a mathematician?
what is,st james palace?
what airport,to fly into to get to clearwater florida?
what currency,do they use in qatar?
what are,fun things to do in denver colorado?
what did,thoreau die from?
what do,the symbols in the illinois flag represent?
what years,did the red sox win the world series?
what war,was woodrow wilson president for?
who is,carl edwards racing for?
where are,the florida marlins from?
what is,the main religion in eastern europe?
what language,does romanian people speak?
what date,was john adams elected president?
what contribution,did maurice wilkins make to dna?
what did,george w bush do before becoming president?
which party,was lincoln?
who are,the two current illinois senators?
what were,adolf hitler's parents names?
what did,jordyn wieber win gold for?
what job,does bill rancic have?
what does,michael jackson like to eat?
who owns,the new england patriots football team?
where do,the japanese live?
what is,the dollar called in brazil?
what has,lucy hale played in?
who won,2011 heisman trophy?
who is,the falcons kicker?
where did,charles drew go to high school?
who won,governor race in indiana?
what languages,do people speak in egypt?
what college,did florence griffith joyner attend?
what style,of art did henri matisse use?
who was,reese witherspoon married too?
what is,the isthmus of panama?
who is,the coach of the la lakers?
what is,illinois state flower called?
what books,did mark twain read?
who plays,miley cyrus brother?
what language,do they speak thailand?
what is,the san francisco giants mascot?
where was,tupac born?
where is,the main headquarters of the un?
what utc,time zone is arizona?
who played,elaine's boyfriend on seinfeld?
who did,juan ponce de leon married?
what language,do they speak in spain wikipedia?
where to,watch live opening ceremony in london?
what did,fred davis do?
what country,was theodor schwann born in?
where is,the fukushima daiichi located?
who plays,claudia joy on army wives?
where did,darfur happen?
what language,does greece use?
what kind,of money does argentina use?
what hemisphere,south america?
what movies,has taylor momsen been in?
what show,was kim richards in as a child?
what was,henry ford best known for?
what education,does jeff corwin have?
what movies,has chris colfer been in?
where the,queen of denmark lives?
what did,roald dahl write?
what county,is troy il in?
what position,does mitt romney hold?
who is,country singer jewel married to?
what famous,book did adam smith wrote?
where does,the appalachian trail run through?
where is,burundi located on a map?
what year,did mcfly go to the future?
what clubs,has messi played for?
where is,merrell shoes headquarters?
who does,the uk trade with?
what color,are the baltimore ravens?
who plays,karen jackson on shameless?
what is,tim tebow's religion?
what country,is singapore next to?
what year,did detroit pistons win the championship?
who is,ellen bernstein?
when are,the australian open men's finals?
when was,reagan inaugurated?
what kind,of education did barack obama have?
what was,the last time the pittsburgh pirates had a winning season?
what did,james k polk believe in?
what currency,does south africa have?
what religions,are recognized in canada?
what airport,is closest to cancun?
where is,somalia located?
who played,lex luthor in the original superman?
where was,john f kennedy raised?
what does,kat dennings star in?
what did,henry kissinger do?
where does,volga river start?
who does,ryan newman race for?
what was,the political system in libya?
who plays,the voice of lois griffin on family guy?
what the,currency in argentina?
where does,eddie bravo teach?
when did,michael schumacher win his first title?
where does,sally pearson live?
where is,madeira?
what country,is joseph prince from?
when did,democritus discovered the atom?
what do,they speak in austria?
what things,did thomas edison invent?
where is,the sistine chapel by michelangelo?
who has,played edward quartermaine on general hospital?
what is,the zip code for iselin nj?
what are,fun things to do in philadelphia?
who does,david carr play for?
where did,jackie robinson go to school?
what strings,does john mayer?
who plays,stacey in zoey 101?
when did,sanchez leave usc?
who is,steven seagal sister?
on what,continent is canada found?
what is,the primary language of israel?
who is,married to jane krakowski?
what role,did tom cruise play in endless love?
what city,was ronald reagan born in?
what countries,in the world speak arabic?
what 4,states border the pacific ocean?
what to,do in nadi fiji?
when does,medicare part d start?
what is,the postcode for seoul south korea?
what type,of government does the bahamas have?
where is,bosnia?
what countries,speak german as a first language?
where is,amazon based out of?
what team,did mike piazza retire with?
where did,robert boyle study?
what is,there to see near the grand canyon?
where does,the fda get its authority?
where does,hector camacho live?
what language,do cyprus speak?
where does,fabio aurelio play?
what war,did george washington help win?
where does,danny ainge live?
who plays,young joe dirt?
what company,did verizon used to be?
who was,king tut's wife?
what are,the kennedys?
where kurdish,people come from?
where is,sarajevo located?
what is,the official language in china?
what teams,are left in the nfl?
what art,movement was pablo picasso part of?
what type,of business is mitt romney in?
what language,do they speak in egyptian?
in what,year did columbus sail to the new world?
what countries,are included in the continent of asia?
who owns,wikimedia foundation?
what war,was george washington president during?
which airport,do ba fly to in oslo?
what is,there for kids to do in miami?
what country,columbus was born?
what bella,name her baby?
what is,the houston rockets mascot?
what is,there fun to do in san diego?
what movies,johnny depp is in?
what countries,did andy warhol work?
what songs,does katherine jenkins sing?
what is,ryan seacrest famous for?
what is,the current leader of japan?
what does,george soros own?
what kind,of money should i bring to dominican?
who is,the president of ecuador in 2012?
what city,became the capital of the assyrian empire?
who started,the federal reserve board?
where did,marco rubio go to college?
where in,tennessee are the smoky mountains?
where was,emperor tiberius born?
who did,ronald reagan get shot by?
what county,is novato in?
who did,president kennedy marry?
what movies,did zoe saldana play in?
where to,go in mexico for vacation?
who does,nikki reed play in the movie twilight?
what does,matt dallas do now?
where did,frank bruno live?
what type,of cancer did donna summer died from?
where's the,hudson river?
how long,is queen victoria's reign?
what is,the state flower of pennsylvania?
what school,did michael jackson attend?
what does,kenya moore do for a living?
who was,wale signed to?
who did,tyson chandler play for?
what character,did liv tyler play in lord of the rings?
who played,princess leia in star wars movies?
what did,barack obama do before he took office?
where was,saint joseph from?
where does,kenya moore get her money?
what round,did manny pacquiao win in?
what are,countries in south asia?
where is,the caribbean geographically located?
what songs,does tom delonge sing?
where did,monta ellis go to college?
what was,the cause of death of michael jackson?
who played,laura ingalls mother?
what is,the capital city of texas usa?
what is,the main language spoken in switzerland?
what timezone,is indianapolis in now?
where do,cruises leave from in rome?
what time,zone is new england usa in?
what is,tulane university's mascot?
where is,aviano air force base located?
who is,the owner of the philadelphia eagles?
where did,giovanni da verrazano live?
what movies,does johnny depp play in?
who has,won the last 10 nba championships?
who is,the coach of the pittsburgh steelers 2005?
when are,the summer olympics held?
when did,mcgee start on ncis?
what atom,did j.j thomson discover?
what country,did the zulu live in?
where to,fly in for galapagos islands?
who has,tom brady played for?
who are,betty white's husbands?
what are,the major languages spoken in italy?
what years,have the giants won the world series?
where did,nick clegg go to prep school?
where did,laura bush grow up?
what currency,should i take to mauritius?
what is,a judge in the supreme court called?
what did,johannes kepler accomplish?
what college,did edgar allan poe go to?
who is,ellen albertini dow?
where is,the singapore zoo?
what town,was abe lincoln born in?
what do,ethiopia import and export?
what challenges,did helen keller have to face?
who is,andy williams brother?
who was,the 2nd prime minister of pakistan?
where does,morrissey live 2010?
who played,atticus finch in the movie?
where did,toussaint louverture live?
what other,countries share a border with china?
who has,the voice of stewie griffin?
what party,did john tyler belong to?
who is,the senator of the state of texas?
where to,stay in thailand koh samui?
who is,jensen ackles in a relationship with?
what is,the currency used in brazil?
what was,marie curie best known for?
what money,is used in mozambique?
who is,the governor of indiana 2012?
who was,kim kardashian's first husband?
who did,jerry rice retire with?
what are,the official languages of the dominican republic?
what did,anton van leeuwenhoek discover?
where was,ted kennedy buried?
where do,most immigrants in the united states come from today?
what state,toronto located?
who is,the governor of wyoming currently?
who was,the president of indian national congress?
where do,most of the people in egypt live?
where was,benjamin franklin raised?
what money,do they have in italy?
what is,phoebe halliwell's real name?
what is,the name of the capital of spain?
what did,people in the bible say about jesus?
what lead,to the fall of the ottoman empire?
where are,facebook headquarters located?
what was,the roman political system?
what government,type is north korea?
where is,the pepsi center?
who plays,hermione granger?
what inspired,m.c. escher to become an artist?
when did,abraham lincoln free the slaves?
what county,is denver colorado in?
what year,did giants win world series?
what kind,of government iran have?
when did,melbourne get its name?
who is,shania twain's husband?
who plays,jason gideon?
where did,president eisenhower go to college?
what are,the gods of islam?
what was,vasco nunez de balboa original purpose of his journey?
what team,did kaka play for in 2009?
who played,george jefferson on all in the family?
what guitar,did clapton play?
who did,joseph from the bible marry?
what did,sir john frederick william herschel do?
what college,did joakim noah attend?
what channel,does anderson cooper come on?
what money,do they use in china?
where did,wassily kandinsky work?
who influenced,michael jackson?
what all,countries are in south america?
who was,the leader of the ussr in 1948?
what ship,did sir francis drake travel on?
what did,kellie martin play on?
what does,united church of christ believe?
where is,walton goggins from?
what university,did barack obama attend?
when did,venus williams win wimbledon?
who is,neil patrick harris dating?
where is,the capital city of assyrians?
what type,of political system is iran?
what do,people from guam speak?
what to,do if you have one day in bangkok?
where was,ben franklin born?
where did,jerry spinelli live as a kid?
what do,costa ricans speak?
what year,did arizona cardinals go to superbowl?
what did,charles babbage make?
who played,lt uhura?
what is,new york giants?
what time,is the melbourne cup?
what schools,did barack obama attend?
where is,the french alps located?
what year,was peyton manning's rookie year?
who was,peter frampton married to?
who has,coached the baltimore ravens?
what teams,did manny ramirez play for?
what type,of government does iraq have 2012?
what other,jobs did benjamin franklin have?
what year,was the first miss america pageant?
what kind,of guitar does lindsey buckingham play?
what college,did joe namath attend?
what city,uses gmt?
where does,the zambezi river begin?
what county,is duluth minnesota in?
what zip,code is chicago il?
what did,andrew johnson die from?
who is,the governor of oregon 2012?
what city,is mt st helens in?
what is,janelle monae famous for?
who created,the ancient language in alagaesia?
what four,regions make up the united kingdom?
what does,time warner own?
where did,the roma people come from?
where was,anne hathaway born?
who did,bryce dallas howard play in eclipse?
who owns,audi 2011?
who started,twa airlines?
what are,the two dialects of chinese?
who was,michael jackson in the wiz?
where is,washington dc located what state?
what state,in chicago in?
what is,the major language spoken in greece?
who wrote,luke bryan's drunk on you?
what time,is it in japan 24 hour clock?
what state,is barack obama senator for?
what kinda,music does john mayer sing?
what will,happen to greece when it defaults?
what boudicca,do?
where did,sir john a macdonald die?
what kind,of money in aruba?
what is,the date today in perth?
what country,does spanish come from?
what is,south korea's capital city?
who was,darth vader in episode 3?
when does,ellen air?
what does,obama have a degree in?
who is,the political leader of japan?
what country,did giovanni da verrazano represent?
when was,saint nicholas died?
what city,is the jacksonville jaguars from?
when is,the last time the raiders won a championship?
where is,the time zone in florida?
who created,youtube and when?
what happened,to farrah and her baby daddy?
what are,the names of snoopy brothers and sisters?
what is,the laguna beach theme song?
what is,thomas edison's most famous for?
what does,jennifer lopez do?
what country,was dmitri mendeleev born?
where did,pres obama go to high school?
what money,system does australia use?
when did,herman cain run for president?
who is,caroline spencer jr s father?
when is,the us open tennis mens final 2011?
where does,nick diaz fight?
where did,st louis tornado hit?
what did,whitney houston die of?
what movies,has selena gomez starred in?
what to,do in midland tx this weekend?
who played,freddy in friday the 13th?
what contribution,did hooke made to science in 1665?
what did,eli whitney invented?
what movies,has angelina jolie in?
what radio,station does uga football come on?
who owns,the chrysler corporation?
what country,christopher columbus from?
who was,michael j fox?
what movies,did jenna dewan play in?
what is,the bosnian language?
where is,shawn johnson gymnast from?
what kind,of money does the ivory coast use?
what writers,influenced charles dickens?
where is,roger federer from sui?
where did,the florida marlins?
what movies,did taylor lautner star in?
what did,nixon do when he was president?
what language,did the egyptians?
who plays,sarah marshall?
what did,skinner believe?
when did,babe ruth start playing baseball in the mlb?
who plays,marlo on the wire?
what is,the zip code for inglewood california?
who was,the first actor to play edward quartermaine?
where did,the founder of google go to college?
what made,roald dahl famous?
what school,did martin luther king jr attend?
who did,lenny kravitz marry?
what is,the second official language of canada?
what is,the language called in russia?
what does,the name austin stand for?
who does,hank baskett play for now nov 2010?
what team,did ronaldo play for?
what to,do today in birmingham uk?
who was,timothy mcveigh accomplice?
how old,is the current president of north korea?
what language,do the people speak in australia?
what college,is in greeley colorado?
what countries,does the niger river flow through?
what is,the official state flower of arizona?
where is,pyramids located in egypt?
what games,did bungie make?
who does,cristiano ronaldo play for 2012?
what type,of laws did mary harris jones demand?
what language,do the speak in switzerland?
where to,stay in rome neighborhood?
what style,of art did van gogh produce?
what are,portuguese people considered?
what movies,did angelina jolie star in?
where was,ancient carthage located?
what type,of paintings did marc chagall do?
what movies,did howard shore wrote the music for?
what does,chilean people speak?
what were,frederick douglass achievements?
who plays,kenneth on 30 rock?
what is,zip code for davenport iowa?
where is,riley's farm located?
who is,the current coach of the new york knicks?
what was,the name of william shakespeare's children?
what currency,does jamaica accept?
who played,howard stern in private parts?
when countries,joined the european union?
which team,does ronaldinho play for?
where is,eric cantor from?
what is,the currency of sweden called?
what school,did cam newton go to before auburn?
when did,ny giants win the superbowl?
when did,kerry run for president?
what's sweden's,currency?
what currency,does greece use?
who are,senators from utah?
what is,the zip code for georgetown ga?
who did,michael vick play for in 2008?
when was,the last shark attack in maui?
where was,the assyrian civilization located?
what did,baron de montesquieu die from?
who are,the current senators from illinois?
what inventions,did robert hooke made?
who plays,patrick jane wife?
what team,does derrick rose play for?
what countries,do new zealand export to?
what illness,did huell howser died of?
what car,models does gm make?
which legend,of zelda game is the first?
what nationality,is zack de la rocha?
what years,have the steelers won the super bowl?
what did,doc holliday die from?
what countries,does britain own?
what government,does france have?
where did,robin gibb die?
what countries,are on the mediterranean sea?
what languages,do they speak in russia?
when were,the phillies founded?
who is,john cabot's parents?
what is,the capital city of montana usa?
who succeeded,william mckinley as president?
what george,washington carver famous for?
what is,the zip code for wildwood?
what money,currency does canada use?
where did,bronx tale take place?
what kind,of money do they use in russia?
what does,uvm stand for college?
who plays,edward elric?
what was,samuel de champlain searching for?
what kind,of money does germany?
who did,walter raleigh sail for?
what cities,are included in maricopa county?
what time,is the grand prix starting?
what are,the places to see in dubai?
where is,johnny depp from?
what characters,does todd haberkorn voice?
what language,do pakistani people talk?
what does,china border?
when does,the russian league start?
what was,alice walker famous for?
where do,haitian people come from?
where is,the time zone in kentucky?
what albums,did john frusciante play on?
what influenced,whitman's poetry?
where did,jimmy hoffa live?
what role,did frederick douglass play in the abolition movement?
where people,speak welsh?
what state,obama was born?
what is,the zip code for morgantown in?
who is,democritus and what did he discover?
who plays,bella on twilight?
who does,cristiano ronaldo play for in 2010?
where did,elvis presley live before he died?
what is,the currency of germany in 2010?
what to,do in daytona?
who was,the vice president during george w bush?
where did,kevin hart go to school?
where gm,cars are built?
what kind,of money do japanese use?
what kind,of money does chile use?
what currency,do italy have?
what are,spanish speaking countries and their capitals?
what did,susan atkins die of?
what type,of currency does brazil use?
who plays,tommy oliver in power rangers?
what year,did dwight howard won the slam dunk contest?
what were,hitler's parents names?
when was,the first pope of the catholic church?
what did,amerigo vespucci explore?
what currency,do i bring to cuba?
what kind,of government does mongolia?
what are,some native american holidays?
where did,jesse james die?
where is,spain located what continent?
what are,the two major religions in canada?
what kind,of government do the canadians have?
what happened,to sir thomas cromwell?
who plays,stewie griffin's voice?
who did,butler beat last night?
what are,the mountains in peru called?
which kardashians,are having babies?
what team,does plaxico burress play for?
where english,is spoken in the world?
where is,victoria beckham from?
what office,does paul ryan hold?
what country,is the iberian peninsula located in?
who is,daniel in the bible?
who played,marty mcfly's dad?
what is,george washington's legacy?
who is,jojo simmons mother?
where do,cherry trees grow in the united states?
who plays,john connor in terminator salvation?
what country,was osama bin laden killed in?
where did,james cook go on his voyages?
who won,the governor election in michigan?
where did,heidi klum and seal get married?
who created,the chinese communist party?
what timezone,is new england usa in?
what happened,to rev. robert schuller?
who plays,the voice of meg in family guy?
what form,of government does north korea?
where is,located cornell university?
who speaks,arabic language?
who played,the parents in ferris bueller day off?
where james,madison was born?
when was,the last time iran invaded another country?
what did,the ottoman empire look like?
who is,jeff probst ex wife?
where is,tsonga born?
what island,is bethany hamilton from?
what is,paige halliwell's powers?
what city,is the state capital of washington?
what does,shawn johnson do?
what was,the reagan administration known for?
where did,nadia boulanger live?
what airport,do you fly into maui?
who does,mark sanchez play for?
what sea,does the yangtze river empty into?
what are,the main imports and exports of afghanistan?
what type,of government germany have?
what is,there to do in montpelier vt?
who is,the leader of japan right now?
what movies,were michael clarke duncan?
in which,city was president kennedy killed?
where is,martin cooper from?
what is,charlie sheen's dad's name?
what office,does boehner hold?
where do,the baltimore ravens play?
what sport,do the harlem globetrotters play?
who was,betty white married too?
where is,danish located?
what is,the best neighborhood to live in dallas?
who plays,mary jane in spiderman 2?
what languages,do scottish people speak?
what types,of government does france have?
where is,mount st helens?
who are,the players on the toronto maple leafs?
in which,continent is russia?
what to,do in ottawa ontario today?
where did,paul ryan live?
who is,galileo galilei and what is he famous for?
what is,the money currency in guatemala?
where is,angola located?
what is,tibetan language?
what is,the national flag of russia?
what sort,of government does canada have?
what country,does mexico trade with?
what form,of government does australia?
what are,the official languages of jamaica?
which country,did james cook sailed for?
what is,the capital of oregon?
what do,spain call their money?
who did,james franco play on general hospital?
which party,did lincoln belong to?
who plays,saruman in lord of the rings?
where is,the best place to visit in the bahamas?
what teams,did shaq play 4?
what currency,does turkey accept?
who was,vice president under lincoln?
what state,is the george washington university in?
where did,paul ryan attend college?
who is,ronaldo playing for now?
what color,are the arizona cardinals uniforms?
when was,george h.w. bush elected president?
where the,seneca indians lived?
which country,does irish language come from?
what did,the harlem renaissance created?
where did,mendeleev died?
where is,glastonbury uk?
what language,did ancient romans write in?
what team,does diego forlan currently play for?
what to,do downtown san francisco?
what kind,of cancer did bob marley died from?
what religion,did jesus christ follow?
who was,luke skywalker played by?
who does,the voice of kovu in lion king?
where did,theodore roosevelt live before he became president?
what year,was tom brady drafted?
what party,is bloomberg affiliated with?
where was,saint paul from?
what is,the capital city of germany now?
what countries,does japan export to?
what continent,is syria located in?
what events,does stephanie rice compete in?
what happened,to nelson mandela after he was released from jail?
where did,charlton heston live?
what region,is thailand located in?
who was,president when the us navy department was established?
where to,visit in orlando florida?
who are,all the american idol winners and runner ups?
what was,alexander graham bell known for?
what band,did joe satriani play in?
what did,mitch hedberg od on?
who did,u.s. fight against in ww1?
which three,countries share a land border with cambodia?
what country,was juan ponce de leon from?
where to,go in florida for vacation?
what college,did steve nash play basketball for?
who plays,shao kahn?
what did,douglas engelbart invent?
where did,chef chuck hughes go to school?
what did,james madison wrote?
where is,fiat abarth made?
where was,tommy steele born?
what does,chad michael murray play in?
what are,some important events in ancient egypt?
who was,sworn into office when john f kennedy was assassinated?
what date,did the earthquake in christchurch happen?
when did,mcgee join the ncis team?
where is,university of auburn?
what countries,are around egypt?
what did,julia roberts won an oscar for?
who is,engaged to john legend?
what nestle,owns?
who won,governor of indiana 2012?
where did,the allied invasion of france take place?
where did,alex smith play high school football?
where is,pyramids of giza located?
when does,nasdaq start trading?
who plays,kermit in the muppets movie?
what is,african american literature?
what are,the primary languages of france?
what language,do they speak in guyana south america?
what year,were the new york yankees established?
what time,does independence center open on sundays?
where did,the navajo tribe live?
what did,frankie lymon die from?
where did,trey songz go to high school?
what was,matthias schleiden known for?
what country,was jesus born?
when was,louisiana entered into the union?
when did,mary shelley write frankenstein what were the circumstances?
what was,vietnam war fought for?
what is,kate spade?
what age,can a woman retire in australia?
who founded,the american federation of labor afl in 1886?
where is,louisville ne?
where does,missouri river end?
what team,is hank baskett playing for in 2010?
what undergraduate,school did martin luther king jr. attend?
what 5,countries border romania?
when was,the last time the kansas city chiefs won a superbowl?
where is,united arab located?
where is,kate middleton spending christmas?
what other,movies has liam hemsworth?
what is,duncan bannatyne?
when did,bradley cooper's dad die?
which countries,border the baltic sea?
what to,do in perth scotland?
who is,keyshia cole married too?
what were,some inventions of leonardo da vinci?
what college,did tosh . o go to?
who plays,sam in anger management?
what type,of strings does willie nelson use?
where did,president andrew jackson grew up?
what did,ivan pavlov invented?
what countries,and seas border ukraine?
where was,joe biden a senator?
what is,the money currency in italy?
where was,adolf hitler died?
what percent,of mississippi is black?
what was,sherlock holmes famous for?
who is,number 5 on the boston celtics?
what does,sirius black wand look like?
who is,roger bacon inventor of?
what city,was woodstock held in?
who do,pagans believe is god?
what was,one thing benjamin franklin is famous for?
what did,john williams play?
who is,the current president of colombia 2011?
what was,the name of the book that charles darwin wrote?
who might,arthur miller think would?
what did,atticus finch do?
what type,of cancer did patrick swayze die from?
what was,james madison's job?
what language,does people in france speak?
where did,hammurabi come from?
who does,queen elizabeth hair?
what teams,did robert horry won rings with?
what timezone,is colorado in?
where is,st helens park nsw?
who killed,david ruffin?
where did,james franco study acting?
what is,d capital city of south africa?
who is,mexico's president right now 2011?
what are,the different dialects of chinese?
what city,was kennedy shot?
what is,the name of the alabama state tree?
what is,the capital of kentucky known for its bluegrass?
what money,do you use in aruba?
where did,apostle paul grow up?
which countries,share land border with vietnam?
who did,queen mary marry?
where did,japan invade to get resources?
who is,the chicago bulls head coach?
where in,georgia does usher live?
who are,the two state senators of georgia?
what type,of government does australia use?
what language,do people in czech republic speak?
who plays,giles in buffy the vampire slayer?
who voices,lola bunny in looney tunes?
what did,charles babbage create in the 1800s?
what did,hitler hate?
who plays,faramir in lord of the rings?
when is,the last time chicago bulls won a championship?
what is,jonathan swift famous for?
where was,dr luther king jr born?
where french,revolution?
who does,peyton manning play 4?
when is,the diwali festival?
where is,bob marley grave?
what did,hitler do bad?
where is,murray kentucky?
what time,zone is anaheim ca?
what is,caesar augustus known for?
what form,of government is israel?
what year,did the florida marlins win their 2nd world series title?
what guitar,does duane allman play?
what is,the speech i have a dream about martin luther king?
what is,the biggest country in europe by population?
what team,does hank baskett play for 2011 season?
what are,the african nations?
where did,dr. martin luther king jr. go to school?
what channel,is game show network on time warner cable?
what is,the senate responsible for?
what book,did w.e.b. dubois wrote?
what are,romney's sons names?
where is,art smith from?
what films,did michael clarke duncan star in?
what other,political offices has obama been in?
what airport,do you fly into for clearwater florida?
what to,do in venice beach ca?
what inspired,van gogh work?
where is,fresno texas located?
what is,wrong with robin roberts?
where to,go in downtown nashville tn?
what team,rasheed wallace?
what is,the timezone in england called?
what airport,is closest to palm springs?
what was,abe lincoln's wife name?
what form,of government do we have in the usa?
who are,famous people from spain?
when did,shaq come to the nba?
what empire,did maria theresa rule?
what language,do they speak brazil?
who is,jimmy fallon married to?
what country,is russia close to?
where are,john deere snow blowers made?
what is,the money called in peru?
what movies,did kristen stewart act in?
what art,movement does vincent van gogh belong to?
what music,did robert pattinson do for twilight?
what type,of government is the philippines?
what do,you call russian currency?
where did,sir donald bradman live?
what is,the name of the broncos mascot?
what caused,the russian financial crisis of 1998?
what kind,government does the us have?
what kind,of money to take to bahamas?
how old,is sacha baron cohen?
where is,rome italy located on a map?
who did,the philippines gain independence from?
what form,of government does russia have today?
what does,thai mean?
what is,the president of brazil?
when is,the new series of the only way is essex starting?
what county,is the city of hampton va in?
what movie,is josh hutcherson in?
what was,the name of frederick douglass book?
where does,lena river begin and end?
what was,tupac name in juice?
what tv,show did joey lawrence play on?
when did,the colorado rockies go to the world series?
where did,france colonise?
what is,the official language of china 2010?
which part,of korea is communist?
who founded,the roanoke settlement?
who does,the author stephenie meyer play in the movie twilight?
who was,the president after jfk died?
where to,visit in n. ireland?
what religion,are people in russia?
what are,dollars called in spain?
what movie,did angelina jolie direct?
who is,the current president of the dominican republic in 2010?
who all,has dated taylor swift?
who plays,lola bunny in the looney tunes show?
who is,the president of the european union 2011?
